x_axis,strain_u1,strain_u2,strain_u3,strain_u4,strain_u5,strain_u6,strain_u7,strain_u8,strain_u9,strain_u10,strain_u11,strain_u12,strain_u13,strain_u14
-0.0185499999999994,138.9,344.9,619.2,942.8,1282.4,1611.5,1936.2,2256.2,2564.0,2865.8,3133.7,3302.0,3412.0,3639.0
-0.017900000000000027,142.3,357.8,647.0,982.7,1335.9,1682.9,2018.7,2349.3,2669.9,2988.8,3269.3,3438.6,3561.4,3798.8
-0.017249999999999766,146.6,375.9,672.5,1017.8,1384.5,1746.3,2089.2,2432.7,2763.5,3093.5,3389.6,3566.9,3691.0,3941.4
-0.016599999999999504,156.2,393.0,701.6,1060.7,1441.4,1816.9,2173.2,2535.4,2878.8,3223.1,3534.2,3719.0,3847.3,4111.3
-0.015949999999999243,158.7,402.4,727.6,1098.6,1493.1,1879.8,2243.6,2633.1,2993.8,3353.7,3675.3,3869.6,3999.4,4273.6
-0.01529999999999987,164.4,414.5,750.0,1134.0,1545.1,1944.5,2332.3,2733.0,3099.9,3478.1,3813.7,4019.2,4160.2,4445.3
-0.014649999999999608,177.7,439.3,787.6,1185.8,1609.3,2023.6,2426.6,2838.8,3224.2,3617.0,3977.8,4184.7,4332.7,4640.3
-0.013999999999999346,180.6,454.3,813.4,1233.0,1670.8,2099.2,2523.3,2950.9,3362.7,3778.0,4145.5,4362.3,4516.8,4827.8
-0.013349999999999973,190.6,469.0,844.9,1274.4,1726.9,2173.0,2609.2,3056.1,3484.2,3914.1,4303.6,4531.9,4701.1,5041.9
-0.012699999999999712,195.8,485.0,872.2,1321.8,1792.7,2251.3,2702.1,3176.5,3616.7,4065.5,4468.4,4713.2,4892.8,5242.6
-0.01204999999999945,204.6,505.7,909.2,1373.6,1874.8,2351.9,2822.0,3311.6,3774.6,4244.5,4672.4,4924.1,5112.0,5490.4
-0.011399999999999189,207.5,523.2,937.3,1421.7,1927.7,2426.5,2922.9,3428.9,3912.5,4397.7,4850.5,5118.4,5319.6,5710.1
-0.010749999999999815,210.0,542.1,976.6,1468.9,1999.8,2511.7,3020.4,3544.3,4048.8,4561.6,5031.0,5326.2,5540.9,5956.2
-0.010099999999999554,222.4,564.7,1012.0,1524.2,2074.2,2609.4,3132.2,3681.0,4199.8,4730.3,5222.5,5523.0,5745.4,6188.6
-0.009449999999999292,229.9,583.3,1043.5,1582.0,2149.4,2688.8,3233.5,3806.9,4358.7,4915.8,5439.0,5760.8,5992.0,6433.1
-0.008799999999999919,236.6,598.7,1080.0,1638.5,2227.2,2771.1,3339.1,3930.9,4507.3,5091.0,5639.9,5970.0,6221.4,6705.1
-0.008149999999999658,246.5,620.1,1113.1,1689.5,2286.6,2868.7,3454.3,4067.5,4665.1,5280.3,5855.4,6204.7,6467.0,6984.5
-0.007499999999999396,256.5,643.1,1154.2,1743.5,2370.7,2978.3,3583.1,4217.6,4835.4,5466.1,6065.4,6432.6,6703.9,7254.2
-0.006850000000000023,262.6,665.1,1190.1,1797.1,2439.9,3070.2,3689.3,4347.1,4989.4,5655.5,6281.4,6663.4,6950.8,7516.4
